governorate,region,area_irrigated_ha,etb_mean,awp_we,awp_wp1,irrigation_efficiency,v_a_m3,v_etb_m3,gva_irrigated
Ariana,Nord,41428.0,-1339562.3528952708,0.08334751599330206,-3.705278123295599e-05,-2249.4267156164237,246709033.7750236,-554953891557.4528,20562585.13825588
Bizerte,Nord,24042.0,-644267.3200883003,0.08334751599330208,-7.704024286522803e-05,-1081.8698500095306,143173182.14780143,-154894749095.62915,11933129.08887583
Gafsa,Sud,20136.0,234.23673082617708,0.08334751599330206,0.2118989222342125,0.3933361959301417,119912453.0292043,47165908.11915901,9994405.096647687
Jendouba,Nord,33290.0,2299.1154457045727,0.08334751599330205,0.02158852479655347,3.860732346408782,198246203.88072166,765375531.8750523,16523328.648559868
Kairouan,Centre,60781.0,1083.1171502307031,0.08334751599330206,0.04582561618487912,1.818797496514709,361958621.7504999,658329435.0817237,30168352.015263364
Kebili,Sud,19338.0,120.42931396300408,0.08334751599330205,0.41214642163435383,0.20222792584924082,115160261.05873822,23288620.734165728,9598321.700386023
Le Kef,Nord,13796.0,1362.5269770375548,0.08334751599330206,0.03642827749190628,2.2879894887102585,82156942.88790736,187974221.75210106,6847577.111310663
Mahdia,Centre,6870.0,-316595.46755967307,0.08334751599330206,-0.00015677580981280777,-531.635053219116,40911727.866042584,-21750108621.34954,3409890.892628606
Monastir,Centre,5761.0,-8066594.796085969,0.08334751599330206,-6.153093351585684e-06,-13545.628390608274,34307491.15520689,-464716526202.5127,2859444.167748675
Nabeul,Nord,47626.0,-4034754.677696554,0.08334751599330206,-1.2301741933432408e-05,-6775.261295864836,283618915.77120006,-1921592262799.7607,23638932.118243087
Sfax,Centre,13582.0,-19029625.568516105,0.08334751599330205,-2.6082757451544887e-06,-31955.02475079197,80882545.54244402,-2584603744715.8574,6741359.258177835
Siliana,Nord,14418.0,1817.0642414719264,0.08334751599330206,0.027315771053600973,3.0512598685115484,85861032.36864658,261984322.33542234,7156303.768547197
Sousse,Centre,7518.0,657.3746831381358,0.08334751599330206,0.07550414106729819,1.103880062936057,44770650.66912783,49421428.67832505,3731522.522675671
Tataouine,Sud,5180.0,97.71056163417575,0.08334751599330206,0.5079748798861866,0.16407802687403822,30847561.913551763,5061407.092650304,2571067.659944131
Tozeur,Sud,9809.0,265.40475440355146,0.08334751599330206,0.18701439965262387,0.4456743231971372,58413848.41892456,26033552.359444365,4868649.165326637
Tunis,Nord,879.0,-1347006.9240426868,0.08334751599330206,-3.6847999756948046e-05,-2261.927826288212,5234557.320851737,-11840190862.335217,436287.3500175465
Zaghouan,Nord,9803.0,1469.7655581165625,0.08334751599330206,0.03377035918118575,2.4680672049155135,58378117.652229324,144081117.66216663,4865671.094678053
